Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
12:19:08.110,S,0,0,3,3
12:19:08.110,ResetScene,0,0,3,3
12:19:09.848,BluePickedUpBall,1,0,3,3
12:19:09.967,BluePickedUpBall,2,0,3,3
12:19:10.063,PurplePickedUpBall,2,1,3,3
12:19:10.258,BlueThrewBall,1,1,3,3
12:19:10.369,PurpleDash,1,1,3,3
12:19:10.370,BlueDash,1,1,3,3
12:19:11.452,PurpleDash,1,1,3,3
12:19:11.452,BlueDash,1,1,3,3
12:19:12.179,PurplePickedUpBall,1,2,3,3
12:19:12.186,BlueThrewBall,0,2,3,3
12:19:12.374,PurplePickedUpBall,0,3,3,3
12:19:12.484,PurplePickedUpBall,0,4,3,3
12:19:12.683,PurpleDash,0,4,3,3
12:19:12.684,BlueDash,0,4,3,3
12:19:13.731,PurpleDash,0,4,3,3
12:19:13.830,BlueDash,0,4,3,3
12:19:13.927,BluePickedUpBall,1,4,3,3
12:19:14.231,BlueThrewBall,0,4,3,3
12:19:14.815,PurpleDash,0,4,3,3
12:19:15.108,BlueDash,0,4,3,3
12:19:15.884,PurpleDash,0,4,3,3
12:19:16.463,BlueDash,0,4,3,3
12:19:16.854,PurpleThrewBall,0,3,3,3
12:19:16.860,HitBlue,0,3,2,3
12:19:17.157,PurpleDash,0,3,2,3
12:19:17.356,PurpleThrewBall,0,2,2,3
12:19:17.660,PurpleThrewBall,0,1,2,3
12:19:17.661,BlueDash,0,1,2,3
12:19:17.662,HitBlue,0,1,1,3
12:19:17.847,PurplePickedUpBall,0,2,1,3
12:19:18.155,PurpleThrewBall,0,1,1,3
12:19:18.163,HitBlue,0,1,0,3
12:19:18.164,GameEnd,0,1,0,3
12:19:18.166,ResetScene,0,0,3,3
12:19:18.395,PurpleDash,0,0,3,3
12:19:18.779,BlueDash,0,0,3,3
12:19:19.448,PurpleDash,0,0,3,3
12:19:19.450,PurplePickedUpBall,0,1,3,3
12:19:20.247,BlueDash,0,1,3,3
12:19:20.446,PurplePickedUpBall,0,2,3,3
12:19:20.558,PurpleDash,0,2,3,3
12:19:20.767,BluePickedUpBall,1,2,3,3
12:19:21.057,PurplePickedUpBall,1,3,3,3
12:19:21.066,BlueThrewBall,0,3,3,3
12:19:21.175,HitPurple,0,3,3,2
12:19:21.296,BlueDash,0,3,3,2
12:19:21.635,PurpleDash,0,3,3,2
12:19:21.639,PurplePickedUpBall,0,4,3,2
12:19:21.762,PurpleThrewBall,0,3,3,2
12:19:21.954,BluePickedUpBall,1,3,3,2
12:19:22.155,PurpleThrewBall,1,2,3,2
12:19:22.156,BlueThrewBall,0,2,3,2
12:19:22.293,BluePickedUpBall,1,2,3,2
12:19:22.398,PurpleThrewBall,1,1,3,2
12:19:22.399,BlueDash,1,1,3,2
12:19:22.400,HitBlue,1,1,2,2
12:19:22.402,PurplePickedUpBall,1,2,2,2
12:19:22.621,BlueThrewBall,0,2,2,2
12:19:22.631,HitPurple,0,2,2,1
12:19:22.743,PurpleThrewBall,0,1,2,1
12:19:22.743,PurpleDash,0,1,2,1
12:19:23.472,BlueDash,0,1,2,1
12:19:23.765,PurpleThrewBall,0,0,2,1
12:19:23.773,PurpleDash,0,0,2,1
12:19:24.503,BlueDash,0,0,2,1
12:19:24.902,PurplePickedUpBall,0,1,2,1
12:19:24.910,PurpleDash,0,1,2,1
12:19:25.642,BlueDash,0,1,2,1
12:19:25.849,PurplePickedUpBall,0,2,2,1
12:19:26.044,PurpleDash,0,2,2,1
12:19:26.898,BlueDash,0,2,2,1
12:19:27.017,PurpleDash,0,2,2,1
12:19:27.220,PurpleThrewBall,0,1,2,1
12:19:27.232,HitBlue,0,1,1,1
12:19:27.973,BlueDash,0,1,1,1
12:19:28.086,PurpleDash,0,1,1,1
12:19:28.994,BlueDash,0,1,1,1
12:19:29.105,PurplePickedUpBall,0,2,1,1
12:19:29.203,PurpleDash,0,2,1,1
12:19:29.944,PurpleThrewBall,0,1,1,1
12:19:30.059,HitBlue,0,1,0,1
12:19:30.060,GameEnd,0,1,0,1
12:19:30.060,ResetScene,0,0,3,3
12:19:30.069,BlueDash,0,0,3,3
12:19:30.393,PurpleDash,0,0,3,3
12:19:30.952,PurplePickedUpBall,0,1,3,3
12:19:31.288,BlueDash,0,1,3,3
12:19:31.290,BluePickedUpBall,1,1,3,3
12:19:31.625,PurpleDash,1,1,3,3
12:19:31.721,PurplePickedUpBall,1,2,3,3
12:19:31.846,PurplePickedUpBall,1,3,3,3
12:19:32.298,PurplePickedUpBall,1,4,3,3
12:19:32.392,PurpleThrewBall,1,3,3,3
12:19:32.393,BlueThrewBall,0,3,3,3
12:19:32.397,BluePickedUpBall,1,3,3,3
12:19:32.504,BlueDash,1,3,3,3
12:19:32.610,PurplePickedUpBall,1,4,3,3
12:19:32.626,PurpleThrewBall,1,3,3,3
12:19:32.727,PurpleDash,1,3,3,3
12:19:32.727,BlueThrewBall,0,3,3,3
12:19:33.075,PurpleThrewBall,0,2,3,3
12:19:33.519,BlueDash,0,2,3,3
12:19:33.705,BluePickedUpBall,1,2,3,3
12:19:33.827,PurpleDash,1,2,3,3
12:19:34.051,BluePickedUpBall,2,2,3,3
12:19:34.486,BlueThrewBall,1,2,3,3
12:19:34.588,BlueDash,1,2,3,3
12:19:34.916,PurpleDash,1,2,3,3
12:19:35.814,BlueThrewBall,0,2,3,3
12:19:35.919,BlueDash,0,2,3,3
12:19:36.026,PurpleDash,0,2,3,3
12:19:36.244,PurpleThrewBall,0,1,3,3
12:19:36.462,PurplePickedUpBall,0,2,3,3
12:19:37.117,PurpleDash,0,2,3,3
12:19:37.118,BlueDash,0,2,3,3
12:19:37.639,PurplePickedUpBall,0,3,3,3
12:19:37.860,PurplePickedUpBall,0,4,3,3
12:19:38.216,PurpleDash,0,4,3,3
12:19:38.217,BlueDash,0,4,3,3
12:19:38.623,PurpleThrewBall,0,3,3,3
12:19:38.734,HitBlue,0,3,2,3
12:19:39.108,PurpleThrewBall,0,2,2,3
12:19:39.236,HitBlue,0,2,1,3
12:19:39.352,PurpleDash,0,2,1,3
12:19:39.352,BlueDash,0,2,1,3
12:19:39.490,PurpleThrewBall,0,1,1,3
12:19:39.596,HitBlue,0,1,0,3
12:19:39.597,GameEnd,0,1,0,3
12:19:39.597,ResetScene,0,0,3,3
12:19:40.515,PurpleDash,0,0,3,3
12:19:40.643,BlueDash,0,0,3,3
12:19:41.213,BluePickedUpBall,1,0,3,3
12:19:41.441,BluePickedUpBall,2,0,3,3
12:19:41.450,BluePickedUpBall,3,0,3,3
12:19:41.558,PurplePickedUpBall,3,1,3,3
12:19:41.674,PurpleDash,3,1,3,3
12:19:41.786,BlueDash,3,1,3,3
12:19:41.798,BluePickedUpBall,4,1,3,3
12:19:42.028,BlueThrewBall,3,1,3,3
12:19:42.391,BlueThrewBall,2,1,3,3
12:19:42.394,PurplePickedUpBall,2,2,3,3
12:19:42.619,PurpleThrewBall,2,1,3,3
12:19:42.630,PurplePickedUpBall,2,2,3,3
12:19:42.746,PurpleDash,2,2,3,3
12:19:42.747,BlueThrewBall,1,2,3,3
12:19:42.853,BlueDash,1,2,3,3
12:19:43.342,BlueThrewBall,0,2,3,3
12:19:43.442,PurpleThrewBall,0,1,3,3
12:19:43.567,PurplePickedUpBall,0,2,3,3
12:19:43.706,PurpleDash,0,2,3,3
12:19:43.818,PurpleThrewBall,0,1,3,3
12:19:43.828,HitBlue,0,1,2,3
12:19:43.933,BlueDash,0,1,2,3
12:19:44.965,PurpleDash,0,1,2,3
12:19:44.967,PurplePickedUpBall,0,2,2,3
12:19:44.975,PurpleThrewBall,0,1,2,3
12:19:45.080,HitBlue,0,1,1,3
12:19:45.213,BlueDash,0,1,1,3
12:19:45.666,PurpleThrewBall,0,0,1,3
12:19:45.671,HitBlue,0,0,0,3
12:19:45.672,GameEnd,0,0,0,3
12:19:45.673,ResetScene,0,0,3,3
12:19:46.275,PurpleDash,0,0,3,3
12:19:46.275,BlueDash,0,0,3,3
12:19:46.528,BluePickedUpBall,1,0,3,3
12:19:46.773,PurplePickedUpBall,1,1,3,3
12:19:47.395,BluePickedUpBall,2,1,3,3
12:19:47.403,PurpleDash,2,1,3,3
12:19:47.403,BlueDash,2,1,3,3
12:19:47.664,BlueThrewBall,1,1,3,3
12:19:47.825,PurplePickedUpBall,1,2,3,3
12:19:47.964,PurpleThrewBall,1,1,3,3
12:19:48.113,BluePickedUpBall,2,1,3,3
12:19:48.264,BlueThrewBall,1,1,3,3
12:19:48.278,PurpleThrewBall,1,0,3,3
12:19:48.288,HitBlue,1,0,2,3
12:19:48.422,PurplePickedUpBall,1,1,2,3
12:19:48.431,BlueThrewBall,0,1,2,3
12:19:48.530,HitPurple,0,1,2,2
12:19:48.533,PurpleThrewBall,0,0,2,2
12:19:48.533,PurpleDash,0,0,2,2
12:19:48.534,BlueDash,0,0,2,2
12:19:48.543,HitBlue,0,0,1,2
12:19:49.017,BluePickedUpBall,1,0,1,2
12:19:50.007,BlueThrewBall,0,0,1,2
12:19:50.590,PurpleDash,0,0,1,2
12:19:50.590,BlueDash,0,0,1,2
12:19:51.739,PurpleDash,0,0,1,2
12:19:51.739,BlueDash,0,0,1,2
12:19:53.323,PurpleDash,0,0,1,2
12:19:53.324,BlueDash,0,0,1,2
12:19:54.420,PurpleDash,0,0,1,2
12:19:54.420,BlueDash,0,0,1,2
12:19:55.387,BluePickedUpBall,1,0,1,2
12:19:55.505,PurpleDash,1,0,1,2
12:19:55.506,BlueDash,1,0,1,2
12:19:55.518,BlueThrewBall,0,0,1,2
12:19:55.773,BluePickedUpBall,1,0,1,2
12:19:56.181,BlueThrewBall,0,0,1,2
12:19:56.296,HitPurple,0,0,1,1
12:19:56.638,PurpleDash,0,0,1,1
12:19:56.638,BlueDash,0,0,1,1
12:19:57.513,PurplePickedUpBall,0,1,1,1
12:19:57.629,PurpleDash,0,1,1,1
12:19:57.629,BlueDash,0,1,1,1
12:19:58.415,PurpleThrewBall,0,0,1,1
12:19:58.779,PurpleDash,0,0,1,1
12:19:58.780,BlueDash,0,0,1,1
12:19:59.684,BluePickedUpBall,1,0,1,1
12:19:59.828,PurpleDash,1,0,1,1
12:19:59.829,BlueDash,1,0,1,1
12:20:00.491,BlueThrewBall,0,0,1,1
12:20:01.011,PurpleDash,0,0,1,1
12:20:01.011,BlueDash,0,0,1,1
12:20:01.022,PurplePickedUpBall,0,1,1,1
12:20:02.128,PurpleDash,0,1,1,1
12:20:02.129,BlueDash,0,1,1,1
12:20:03.246,PurpleDash,0,1,1,1
12:20:03.246,BlueDash,0,1,1,1
12:20:03.996,PurpleThrewBall,0,0,1,1
12:20:04.244,PurpleDash,0,0,1,1
12:20:04.244,BlueDash,0,0,1,1
12:20:05.372,PurpleDash,0,0,1,1
12:20:05.373,BlueDash,0,0,1,1
12:20:05.889,PurplePickedUpBall,0,1,1,1
12:20:06.271,PurpleThrewBall,0,0,1,1
12:20:06.738,PurpleDash,0,0,1,1
12:20:06.738,BlueDash,0,0,1,1
12:20:07.768,PurpleDash,0,0,1,1
12:20:07.769,BlueDash,0,0,1,1
12:20:07.990,PurplePickedUpBall,0,1,1,1
12:20:08.925,PurpleDash,0,1,1,1
12:20:08.926,BlueDash,0,1,1,1
12:20:08.927,BluePickedUpBall,1,1,1,1
12:20:09.040,PurplePickedUpBall,1,2,1,1
12:20:09.416,BlueThrewBall,0,2,1,1
12:20:09.427,HitPurple,0,2,1,0
12:20:09.428,GameEnd,0,0,1,0
12:20:09.429,ResetScene,0,0,3,3
12:20:10.024,PurpleDash,0,0,3,3
12:20:10.025,BlueDash,0,0,3,3
12:20:10.038,BluePickedUpBall,1,0,3,3
12:20:10.168,PurplePickedUpBall,1,1,3,3
12:20:10.950,PurplePickedUpBall,1,2,3,3
12:20:11.078,PurpleDash,1,2,3,3
12:20:11.079,BlueDash,1,2,3,3
12:20:11.833,PurpleThrewBall,1,1,3,3
12:20:11.950,HitBlue,1,1,2,3
12:20:12.059,BlueThrewBall,0,1,2,3
12:20:12.071,HitPurple,0,1,2,2
12:20:12.297,PurpleDash,0,1,2,2
12:20:12.441,BluePickedUpBall,1,1,2,2
12:20:12.559,BlueDash,1,1,2,2
12:20:12.569,BlueThrewBall,0,1,2,2
12:20:12.680,PurplePickedUpBall,0,2,2,2
12:20:12.690,PurpleThrewBall,0,1,2,2
12:20:12.691,HitBlue,0,1,1,2
12:20:12.931,PurplePickedUpBall,0,2,1,2
12:20:13.161,PurpleThrewBall,0,1,1,2
12:20:13.296,PurpleDash,0,1,1,2
12:20:13.656,PurpleThrewBall,0,0,1,2
12:20:13.756,BlueDash,0,0,1,2
12:20:14.171,PurplePickedUpBall,0,1,1,2
12:20:14.172,PurpleThrewBall,0,0,1,2
12:20:14.392,PurpleDash,0,0,1,2
12:20:14.393,PurplePickedUpBall,0,1,1,2
12:20:14.521,PurpleThrewBall,0,0,1,2
12:20:14.801,BlueDash,0,0,1,2
12:20:15.168,PurplePickedUpBall,0,1,1,2
12:20:15.288,PurpleThrewBall,0,0,1,2
12:20:15.790,PurpleDash,0,0,1,2
12:20:15.908,BlueDash,0,0,1,2
12:20:15.921,BluePickedUpBall,1,0,1,2
12:20:15.922,BlueThrewBall,0,0,1,2
12:20:16.892,PurpleDash,0,0,1,2
12:20:17.033,BlueDash,0,0,1,2
12:20:17.635,BluePickedUpBall,1,0,1,2
12:20:17.751,BlueThrewBall,0,0,1,2
12:20:18.007,PurpleDash,0,0,1,2
12:20:18.138,BlueDash,0,0,1,2
12:20:18.139,PurplePickedUpBall,0,1,1,2
12:20:18.756,PurpleThrewBall,0,0,1,2
12:20:19.102,PurpleDash,0,0,1,2
12:20:19.226,BlueDash,0,0,1,2
12:20:20.173,PurpleDash,0,0,1,2
12:20:20.290,PurplePickedUpBall,0,1,1,2
12:20:20.290,BlueDash,0,1,1,2
12:20:21.263,PurpleDash,0,1,1,2
12:20:21.272,PurplePickedUpBall,0,2,1,2
12:20:21.274,BlueDash,0,2,1,2
12:20:22.411,BluePickedUpBall,1,2,1,2
12:20:22.420,PurpleDash,1,2,1,2
12:20:22.420,BlueDash,1,2,1,2
12:20:23.031,PurpleThrewBall,1,1,1,2
12:20:23.032,BlueThrewBall,0,1,1,2
12:20:23.270,PurpleThrewBall,0,0,1,2
12:20:23.282,HitBlue,0,0,0,2
12:20:23.282,GameEnd,0,0,0,2
12:20:23.283,ResetScene,0,0,3,3
12:20:23.698,PurpleDash,0,0,3,3
12:20:23.699,BlueDash,0,0,3,3
12:20:24.679,BluePickedUpBall,1,0,3,3
12:20:24.688,BluePickedUpBall,2,0,3,3
12:20:24.809,PurpleDash,2,0,3,3
12:20:24.810,BlueDash,2,0,3,3
12:20:24.820,BluePickedUpBall,3,0,3,3
12:20:25.168,PurplePickedUpBall,3,1,3,3
12:20:25.548,BlueThrewBall,2,1,3,3
12:20:25.932,PurpleDash,2,1,3,3
12:20:25.933,BlueDash,2,1,3,3
12:20:26.172,BlueThrewBall,1,1,3,3
12:20:26.285,HitPurple,1,1,3,2
12:20:26.404,PurplePickedUpBall,1,2,3,2
12:20:26.533,PurpleThrewBall,1,1,3,2
12:20:26.533,BlueThrewBall,0,1,3,2
12:20:26.924,PurpleThrewBall,0,0,3,2
12:20:27.049,PurpleDash,0,0,3,2
12:20:27.051,BlueDash,0,0,3,2
12:20:27.055,HitBlue,0,0,2,2
12:20:27.064,PurplePickedUpBall,0,1,2,2
12:20:27.175,PurplePickedUpBall,0,2,2,2
12:20:27.305,PurpleThrewBall,0,1,2,2
12:20:27.433,PurplePickedUpBall,0,2,2,2
12:20:27.566,PurpleThrewBall,0,1,2,2
12:20:27.569,HitBlue,0,1,1,2
12:20:27.816,PurpleThrewBall,0,0,1,2
12:20:27.949,HitBlue,0,0,0,2
12:20:27.950,GameEnd,0,0,0,2
12:20:27.951,ResetScene,0,0,3,3
12:20:28.073,PurpleDash,0,0,3,3
12:20:28.073,BlueDash,0,0,3,3
12:20:28.863,PurplePickedUpBall,0,1,3,3
12:20:29.091,PurpleDash,0,1,3,3
12:20:29.092,BlueDash,0,1,3,3
12:20:30.092,PurplePickedUpBall,0,2,3,3
12:20:30.100,PurplePickedUpBall,0,3,3,3
12:20:30.207,PurpleDash,0,3,3,3
12:20:30.207,BlueDash,0,3,3,3
12:20:30.216,BluePickedUpBall,1,3,3,3
12:20:30.356,BluePickedUpBall,2,3,3,3
12:20:30.629,BluePickedUpBall,3,3,3,3
12:20:30.877,BluePickedUpBall,4,3,3,3
12:20:31.347,PurpleDash,4,3,3,3
12:20:31.348,BlueDash,4,3,3,3
12:20:31.358,PurplePickedUpBall,4,4,3,3
12:20:31.605,BlueThrewBall,3,4,3,3
12:20:31.849,PurpleThrewBall,3,3,3,3
12:20:31.869,HitBlue,3,3,2,3
12:20:32.004,BlueThrewBall,2,3,2,3
12:20:32.243,PurpleThrewBall,2,2,2,3
12:20:32.253,BluePickedUpBall,3,2,2,3
12:20:32.255,HitBlue,3,2,1,3
12:20:32.482,PurplePickedUpBall,3,3,1,3
12:20:32.498,BlueThrewBall,2,3,1,3
12:20:32.509,PurplePickedUpBall,2,4,1,3
12:20:32.621,PurpleThrewBall,2,3,1,3
12:20:32.621,PurpleDash,2,3,1,3
12:20:32.622,BlueDash,2,3,1,3
12:20:32.769,BlueThrewBall,1,3,1,3
12:20:32.780,HitPurple,1,3,1,2
12:20:32.900,PurpleThrewBall,1,2,1,2
12:20:33.274,PurpleThrewBall,1,1,1,2
12:20:33.274,BlueThrewBall,0,1,1,2
12:20:33.395,HitPurple,0,1,1,1
12:20:33.653,PurpleThrewBall,0,0,1,1
12:20:33.653,PurpleDash,0,0,1,1
12:20:33.654,BlueDash,0,0,1,1
12:20:34.395,PurplePickedUpBall,0,1,1,1
12:20:34.510,BluePickedUpBall,1,1,1,1
12:20:34.632,PurpleThrewBall,1,0,1,1
12:20:34.633,BlueThrewBall,0,0,1,1
12:20:34.767,PurpleDash,0,0,1,1
12:20:34.767,BlueDash,0,0,1,1
12:20:35.852,PurpleDash,0,0,1,1
12:20:35.955,BlueDash,0,0,1,1
12:20:37.026,PurpleDash,0,0,1,1
12:20:37.027,BlueDash,0,0,1,1
12:20:37.152,BluePickedUpBall,1,0,1,1
12:20:37.983,PurplePickedUpBall,1,1,1,1
12:20:38.095,PurpleDash,1,1,1,1
12:20:38.096,BlueDash,1,1,1,1
12:20:38.843,PurpleThrewBall,1,0,1,1
12:20:38.844,BlueThrewBall,0,0,1,1
12:20:38.958,PurplePickedUpBall,0,1,1,1
12:20:39.204,PurpleDash,0,1,1,1
12:20:39.205,BlueDash,0,1,1,1
12:20:39.561,PurpleThrewBall,0,0,1,1
12:20:39.682,HitBlue,0,0,0,1
12:20:39.682,GameEnd,0,0,0,1
12:20:39.683,ResetScene,0,0,3,3
12:20:40.584,PurplePickedUpBall,0,1,3,3
12:20:40.586,PurpleDash,0,1,3,3
12:20:40.587,BlueDash,0,1,3,3
12:20:41.706,PurpleDash,0,1,3,3
12:20:41.707,BluePickedUpBall,1,1,3,3
12:20:42.093,BlueDash,1,1,3,3
12:20:42.102,BluePickedUpBall,2,1,3,3
12:20:42.211,BlueThrewBall,1,1,3,3
12:20:42.467,PurpleThrewBall,1,0,3,3
12:20:42.577,BlueThrewBall,0,0,3,3
12:20:42.747,PurplePickedUpBall,0,1,3,3
12:20:42.865,PurpleThrewBall,0,0,3,3
12:20:42.995,PurpleDash,0,0,3,3
12:20:42.997,HitBlue,0,0,2,3
12:20:43.005,BluePickedUpBall,1,0,2,3
12:20:43.128,BlueThrewBall,0,0,2,3
12:20:43.279,BlueDash,0,0,2,3
12:20:43.552,PurplePickedUpBall,0,1,2,3
12:20:43.768,BluePickedUpBall,1,1,2,3
12:20:43.890,PurplePickedUpBall,1,2,2,3
12:20:43.900,PurplePickedUpBall,1,3,2,3
12:20:44.010,PurpleDash,1,3,2,3
12:20:44.267,BlueDash,1,3,2,3
12:20:44.403,BlueThrewBall,0,3,2,3
12:20:45.122,PurpleDash,0,3,2,3
12:20:45.263,PurplePickedUpBall,0,4,2,3
12:20:45.387,BlueDash,0,4,2,3
12:20:45.648,PurpleThrewBall,0,3,2,3
12:20:45.769,HitBlue,0,3,1,3
12:20:45.916,PurpleThrewBall,0,2,1,3
12:20:46.296,PurpleDash,0,2,1,3
12:20:46.427,PurpleThrewBall,0,1,1,3
12:20:46.428,BlueDash,0,1,1,3
12:20:46.440,PurplePickedUpBall,0,2,1,3
12:20:46.705,PurpleThrewBall,0,1,1,3
12:20:46.830,BluePickedUpBall,1,1,1,3
12:20:46.976,PurplePickedUpBall,1,2,1,3
12:20:47.096,BlueThrewBall,0,2,1,3
12:20:47.364,PurpleDash,0,2,1,3
12:20:47.614,BlueDash,0,2,1,3
12:20:48.388,PurpleDash,0,2,1,3
