,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
0,0.0,S,0,0,3,3
1,0.0,ResetScene,0,0,3,3
2,2.115,PurplePickedUpBall,0,1,3,3
3,2.362,BluePickedUpBall,1,1,3,3
4,2.601,PurpleDash,1,1,3,3
5,2.601,BlueDash,1,1,3,3
6,2.604,BluePickedUpBall,2,1,3,3
7,2.825,BluePickedUpBall,3,1,3,3
8,3.529,PurpleThrewBall,3,0,3,3
9,3.635,PurpleDash,3,0,3,3
10,3.636,BlueDash,3,0,3,3
11,4.095,BluePickedUpBall,4,0,3,3
12,4.336,BlueThrewBall,3,0,3,3
13,4.76,BlueDash,3,0,3,3
14,4.761,BluePickedUpBall,4,0,3,3
15,4.859,PurpleDash,4,0,3,3
16,5.876,BlueDash,4,0,3,3
17,5.984,PurpleDash,4,0,3,3
18,5.986,PurplePickedUpBall,4,1,3,3
19,6.113,BlueThrewBall,3,1,3,3
20,6.216,PurpleThrewBall,3,0,3,3
21,6.221,BluePickedUpBall,4,0,3,3
22,6.369,BlueThrewBall,3,0,3,3
23,6.949,BlueThrewBall,2,0,3,3
24,6.949,BlueDash,2,0,3,3
25,6.954,HitPurple,2,0,3,2
26,7.31,BlueThrewBall,1,0,3,2
27,7.322,HitPurple,1,0,3,1
28,7.672,PurpleDash,1,0,3,1
29,8.003,BlueDash,1,0,3,1
30,8.739,PurpleDash,1,0,3,1
31,9.087,BlueDash,1,0,3,1
32,9.222,BlueThrewBall,0,0,3,1
33,9.229,HitPurple,0,0,3,0
34,9.23,GameEnd,0,0,3,0
35,9.231,ResetScene,0,0,3,3
36,9.856,PurpleDash,0,0,3,3
37,10.799,BlueDash,0,0,3,3
38,11.69,PurpleDash,0,0,3,3
39,11.966,BlueDash,0,0,3,3
40,11.968,BluePickedUpBall,1,0,3,3
41,12.327,BluePickedUpBall,2,0,3,3
42,12.568,BluePickedUpBall,3,0,3,3
43,13.283,PurpleDash,3,0,3,3
44,13.283,BlueDash,3,0,3,3
45,13.389,PurplePickedUpBall,3,1,3,3
46,13.981,BluePickedUpBall,4,1,3,3
47,14.206,PurplePickedUpBall,4,2,3,3
48,14.435,PurpleThrewBall,4,1,3,3
49,14.436,BlueThrewBall,3,1,3,3
50,14.436,BlueDash,3,1,3,3
51,14.447,PurpleDash,3,1,3,3
52,14.449,HitPurple,3,1,3,2
53,14.682,PurpleThrewBall,3,0,3,2
54,15.054,BluePickedUpBall,4,0,3,2
55,15.31,BlueThrewBall,3,0,3,2
56,15.426,HitPurple,3,0,3,1
57,15.426,PurplePickedUpBall,3,1,3,1
58,15.554,PurpleThrewBall,3,0,3,1
59,15.555,BlueDash,3,0,3,1
60,15.663,BlueThrewBall,2,0,3,1
61,15.8,HitPurple,2,0,3,0
62,15.8,GameEnd,2,0,3,0
63,15.801,ResetScene,0,0,3,3
64,16.055,PurpleDash,0,0,3,3
65,16.57,BluePickedUpBall,1,0,3,3
66,16.667,BlueDash,1,0,3,3
67,17.188,PurpleDash,1,0,3,3
68,17.333,BluePickedUpBall,2,0,3,3
69,17.81,BlueDash,2,0,3,3
70,18.184,PurpleDash,2,0,3,3
71,18.304,BluePickedUpBall,3,0,3,3
72,18.806,BlueDash,3,0,3,3
73,19.031,PurplePickedUpBall,3,1,3,3
74,19.031,PurpleThrewBall,3,0,3,3
75,19.033,BluePickedUpBall,4,0,3,3
76,19.297,BlueThrewBall,3,0,3,3
77,19.314,PurplePickedUpBall,3,1,3,3
78,19.436,HitPurple,3,1,3,2
79,19.803,PurpleDash,3,1,3,2
80,20.111,BlueDash,3,1,3,2
81,20.603,PurplePickedUpBall,3,2,3,2
82,20.866,BlueThrewBall,2,2,3,2
83,20.877,HitPurple,2,2,3,1
84,21.003,PurplePickedUpBall,2,3,3,1
85,21.27,PurpleDash,2,3,3,1
86,21.28,BlueDash,2,3,3,1
87,21.395,BlueThrewBall,1,3,3,1
88,21.55,PurpleThrewBall,1,2,3,1
89,21.809,PurpleThrewBall,1,1,3,1
90,21.809,BlueThrewBall,0,1,3,1
91,21.937,HitBlue,0,1,2,1
92,22.346,BlueDash,0,1,2,1
93,22.463,PurpleDash,0,1,2,1
94,22.734,PurplePickedUpBall,0,2,2,1
95,23.257,PurpleThrewBall,0,1,2,1
96,23.636,PurpleThrewBall,0,0,2,1
97,23.637,PurpleDash,0,0,2,1
98,23.637,BlueDash,0,0,2,1
99,24.898,BlueDash,0,0,2,1
100,25.017,PurpleDash,0,0,2,1
101,26.003,BlueDash,0,0,2,1
102,26.005,BluePickedUpBall,1,0,2,1
103,26.423,PurpleDash,1,0,2,1
104,26.691,BluePickedUpBall,2,0,2,1
105,26.824,BluePickedUpBall,3,0,2,1
106,27.082,BlueDash,3,0,2,1
107,27.212,BluePickedUpBall,4,0,2,1
108,27.478,PurpleDash,4,0,2,1
109,28.282,BlueDash,4,0,2,1
110,28.643,PurpleDash,4,0,2,1
111,29.27,BlueDash,4,0,2,1
112,29.736,PurpleDash,4,0,2,1
113,30.471,BlueDash,4,0,2,1
114,31.069,PurpleDash,4,0,2,1
115,31.566,BlueDash,4,0,2,1
116,32.473,PurpleDash,4,0,2,1
117,32.704,BlueDash,4,0,2,1
118,33.774,PurpleDash,4,0,2,1
119,34.049,BlueDash,4,0,2,1
120,34.977,PurpleDash,4,0,2,1
121,35.122,BlueDash,4,0,2,1
122,35.973,PurpleDash,4,0,2,1
123,36.455,BlueDash,4,0,2,1
124,37.073,PurplePickedUpBall,4,1,2,1
125,37.074,PurpleDash,4,1,2,1
126,37.594,BlueDash,4,1,2,1
127,38.148,PurpleDash,4,1,2,1
128,38.16,PurplePickedUpBall,4,2,2,1
129,38.55,PurpleThrewBall,4,1,2,1
130,38.695,BlueDash,4,1,2,1
131,39.002,PurpleThrewBall,4,0,2,1
132,39.268,PurpleDash,4,0,2,1
133,39.656,BlueDash,4,0,2,1
134,40.405,PurpleDash,4,0,2,1
135,40.98,BlueDash,4,0,2,1
136,41.525,BlueThrewBall,3,0,2,1
137,41.942,PurpleDash,3,0,2,1
138,44.114,BlueThrewBall,2,0,2,1
139,44.115,BlueDash,2,0,2,1
140,44.4,BlueThrewBall,1,0,2,1
141,44.643,HitPurple,1,0,2,0
142,44.645,GameEnd,1,0,2,0
143,44.648,ResetScene,0,0,3,3
144,44.889,PurpleDash,0,0,3,3
145,45.638,BlueDash,0,0,3,3
146,46.34,PurpleDash,0,0,3,3
147,46.357,BluePickedUpBall,1,0,3,3
148,46.358,PurplePickedUpBall,1,1,3,3
149,47.091,PurpleThrewBall,1,0,3,3
150,47.094,PurplePickedUpBall,1,1,3,3
151,47.3,BlueDash,1,1,3,3
152,47.323,BluePickedUpBall,2,1,3,3
153,48.363,PurpleDash,2,1,3,3
154,48.57,PurplePickedUpBall,2,2,3,3
155,48.572,PurplePickedUpBall,2,3,3,3
156,48.896,PurpleThrewBall,2,2,3,3
157,48.905,HitBlue,2,2,2,3
158,49.24,BlueDash,2,2,2,3
159,49.518,BlueThrewBall,1,2,2,3
160,49.53,PurpleThrewBall,1,1,2,3
161,49.532,HitBlue,1,1,1,3
162,49.713,BlueThrewBall,0,1,1,3
163,49.714,PurplePickedUpBall,0,2,1,3
164,49.858,HitPurple,0,2,1,2
165,49.872,PurpleThrewBall,0,1,1,2
166,49.879,HitBlue,0,1,0,2
167,49.88,GameEnd,0,1,0,2
168,49.881,ResetScene,0,0,3,3
169,50.824,PurpleDash,0,0,3,3
170,50.861,BlueDash,0,0,3,3
171,51.902,BluePickedUpBall,1,0,3,3
172,52.055,PurpleDash,1,0,3,3
173,52.056,BlueDash,1,0,3,3
174,52.06,PurplePickedUpBall,1,1,3,3
175,52.061,BluePickedUpBall,2,1,3,3
176,52.206,PurpleThrewBall,2,0,3,3
177,52.375,BluePickedUpBall,3,0,3,3
178,52.874,BluePickedUpBall,4,0,3,3
179,53.968,PurpleDash,4,0,3,3
180,53.968,BlueDash,4,0,3,3
181,55.654,PurpleDash,4,0,3,3
182,55.655,BlueDash,4,0,3,3
183,56.274,PurplePickedUpBall,4,1,3,3
184,56.627,PurplePickedUpBall,4,2,3,3
185,56.839,BlueDash,4,2,3,3
186,57.334,PurpleThrewBall,4,1,3,3
187,57.334,PurpleDash,4,1,3,3
188,58.149,PurpleThrewBall,4,0,3,3
189,58.15,BlueThrewBall,3,0,3,3
190,58.415,BlueDash,3,0,3,3
191,58.426,BlueThrewBall,2,0,3,3
192,58.681,PurpleDash,2,0,3,3
193,59.461,BlueDash,2,0,3,3
194,59.822,PurpleDash,2,0,3,3
195,60.336,BlueThrewBall,1,0,3,3
196,60.455,HitPurple,1,0,3,2
197,60.584,BlueDash,1,0,3,2
198,60.586,BluePickedUpBall,2,0,3,2
199,60.974,PurpleDash,2,0,3,2
200,61.098,BlueThrewBall,1,0,3,2
201,61.102,HitPurple,1,0,3,1
202,61.35,BlueThrewBall,0,0,3,1
203,61.354,BluePickedUpBall,1,0,3,1
204,61.6,BlueThrewBall,0,0,3,1
205,61.726,BlueDash,0,0,3,1
206,62.087,PurpleDash,0,0,3,1
207,62.73,BlueDash,0,0,3,1
208,63.114,PurpleDash,0,0,3,1
