Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
16:40:50.862,(15.98266,10.01634),179.7408,(15.99916,-35.02529),359.8447
16:40:52.282,(15.95995,10.29188),233.7638,(16.11402,-35.19552),21.71572
16:40:52.509,(15.76211,10.17298),212.0222,(16.81481,-34.83363),19.92527
16:40:52.522,(15.83473,9.326652),203.0037,(17.35076,-34.17097),23.25329
16:40:52.636,(16.07385,8.444677),196.7338,(17.82832,-33.44994),24.16527
16:40:52.751,(16.42667,7.664181),170.862,(18.16748,-32.69784),2.082906
16:40:52.882,(16.98299,6.828654),159.6043,(18.31933,-31.74042),356.6216
16:40:53.009,(17.50194,6.119445),171.1788,(18.29805,-30.91351),9.623699
16:40:53.026,(18.13856,5.356919),182.0431,(18.17312,-30.41393),22.45612
16:40:53.128,(18.51885,4.562252),199.7698,(18.7915,-30.56049),46.39136
16:40:53.255,(18.97571,3.669867),182.5633,(19.41511,-30.27602),43.21899
16:40:53.370,(19.35674,2.897127),176.9926,(20.08171,-29.95141),40.17608
16:40:53.498,(20.31056,1.868551),170.1608,(21.55368,-29.91681),50.56569
16:40:53.508,(21.3285,1.244446),152.0602,(23.53012,-30.13215),37.95007
16:40:53.609,(22.10154,0.8091304),141.0191,(24.82434,-30.27318),11.35575
16:40:53.731,(23.07157,0.6245591),139.1708,(25.79985,-30.37852),0.8660737
16:40:53.832,(23.95487,0.3036442),183.3235,(25.96957,-30.15975),15.15133
16:40:53.949,(23.80754,-0.4744691),204.153,(25.9832,-29.38906),15.12025
16:40:54.060,(23.30121,-1.342693),187.6806,(26.05521,-28.70659),355.5898
16:40:54.184,(22.83358,-2.081378),176.978,(26.49359,-28.86076),341.2408
16:40:54.302,(22.38431,-2.974471),203.404,(26.24719,-28.70172),2.326806
16:40:54.315,(21.95667,-3.739053),215.0825,(26.16484,-28.55165),10.60876
16:40:54.433,(21.57195,-4.665186),201.4637,(26.12652,-28.91319),357.7384
16:40:54.533,(22.05765,-6.375946),194.926,(27.55476,-29.2208),0.8562062
16:40:54.660,(22.84241,-8.286771),209.7207,(29.69549,-29.44618),6.268457
16:40:54.763,(23.26627,-9.31883),196.6834,(30.8549,-29.56824),357.2318
16:40:54.890,(23.68966,-10.24022),199.0066,(31.54105,-29.72013),355.1259
16:40:54.899,(24.01905,-10.928),186.1548,(31.74742,-30.1107),346.4933
16:40:55.008,(24.72098,-11.62874),151.0845,(31.75663,-30.83463),342.4376
16:40:55.125,(25.59102,-11.86812),163.4489,(31.51747,-31.75312),339.0602
16:40:55.233,(25.73352,-12.49172),164.7726,(31.19263,-32.39328),321.6656
16:40:55.351,(25.39107,-13.31714),186.5518,(30.45838,-32.37465),320.8821
16:40:55.473,(24.7819,-14.09991),238.7093,(29.59356,-32.26128),331.2849
16:40:55.639,(23.99109,-14.42235),268.0087,(29.05235,-31.85423),334.6441
16:40:55.657,(23.01197,-14.02412),264.6213,(28.1362,-31.75004),327.5511
16:40:55.757,(22.11839,-12.72019),245.4361,(26.77899,-30.75368),327.0546
16:40:55.876,(21.44454,-11.76239),252.4194,(25.36727,-29.3479),348.1702
16:40:55.978,(20.82425,-11.12137),262.1397,(24.67146,-28.77981),347.113
16:40:56.108,(19.97094,-10.6121),259.1178,(24.28172,-28.63247),343.9571
16:40:56.211,(19.26155,-10.15369),250.1826,(23.47189,-28.47576),347.104
16:40:56.339,(18.51143,-9.628061),247.2561,(22.64525,-28.26848),357.4711
16:40:56.350,(17.95024,-9.180203),218.5874,(22.28945,-27.92053),341.5856
16:40:56.455,(17.3769,-9.61899),183.1615,(21.75889,-27.10957),342.4514
16:40:56.562,(18.08487,-9.908711),145.4141,(21.1157,-26.61241),337.1739
16:40:56.663,(19.0791,-9.960361),130.9173,(20.53369,-25.89903),339.5469
16:40:56.774,(20.86689,-10.00967),136.4945,(20.30944,-25.18874),345.337
16:40:56.882,(22.48621,-10.49641),170.7359,(20.02683,-23.87821),351.4071
16:40:57.001,(23.39421,-10.75119),199.3811,(19.70323,-22.77572),11.44487
16:40:57.114,(24.36193,-10.97584),191.2653,(19.51923,-21.88),14.21017
16:40:57.248,(25.18718,-11.04917),217.1942,(19.55276,-21.46627),33.39443
16:40:57.267,(25.67826,-11.50847),193.8948,(19.9987,-21.20028),1.952721
16:40:57.373,(25.69428,-12.30816),229.6881,(20.69405,-20.77723),11.4455
16:40:57.497,(25.63501,-13.22866),192.0847,(21.35078,-20.38692),353.8716
16:40:57.604,(25.90636,-13.98718),228.9164,(21.59682,-19.99391),5.167482
16:40:57.734,(25.91161,-14.80367),232.6974,(22.34303,-19.5169),39.57767
16:40:57.746,(25.54136,-15.53835),218.4711,(23.06668,-19.13374),32.55235
16:40:57.858,(23.26785,-15.25642),237.31,(23.21413,-20.33181),39.20725
16:40:57.973,(21.80633,-15.01531),199.6532,(23.08564,-21.91591),25.04956
16:40:58.085,(20.75684,-14.85899),146.31,(22.99738,-22.96275),353.6752
16:40:58.209,(19.95578,-14.98586),191.0157,(23.16521,-23.61743),7.10033
16:40:58.322,(19.11847,-15.38668),148.4985,(23.58919,-25.40363),344.4582
16:40:58.439,(18.78232,-16.13181),131.4507,(23.81396,-27.38847),330.9008
16:40:58.459,(18.76192,-17.13),145.2804,(23.66979,-28.7272),335.8289
16:40:58.571,(18.62083,-17.85262),146.6397,(24.57572,-30.16458),328.2699
16:40:58.711,(18.94005,-17.63324),148.1438,(25.93019,-31.6942),330.4846
16:40:58.874,(19.72442,-17.56279),153.1109,(26.6612,-32.51976),326.3339
16:40:58.901,(21.00029,-18.21896),151.1424,(27.1762,-32.98313),332.3868
16:40:59.037,(22.59956,-19.48844),176.5969,(27.41809,-33.60611),351.347
16:40:59.202,(23.74398,-20.39688),178.3519,(27.34166,-33.84461),357.0917
16:40:59.216,(24.44954,-20.95628),183.5289,(26.99648,-33.50141),14.72759
16:40:59.349,(25.26551,-21.54299),139.4518,(27.13237,-33.03005),357.1512
16:40:59.469,(26.06818,-21.82347),134.4218,(27.5724,-32.83961),5.089829
16:40:59.489,(26.59567,-21.92733),154.3087,(28.23449,-33.07725),12.16666
16:40:59.627,(26.9151,-22.59471),160.6094,(28.625,-33.87573),359.4538
16:40:59.744,(27.25898,-23.52754),175.1944,(29.00702,-31.74325),1.104483
16:40:59.867,(27.50433,-24.34427),167.8991,(29.23594,-30.27955),354.1647
